,id_user,nama,jenis_user,fakultas,prodi,angkatan,id_transaksi,id_buku,tanggal_pinjam,tanggal_kembali_rencana,tanggal_kembali_aktual,status
0,USR00001,Mahesa Usada,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2025.0,TRX000281,BK00717,11/7/2024,11/21/2024,11/21/2024,Dikembalikan
1,USR00001,Mahesa Usada,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2025.0,TRX001483,BK00368,5/28/2025,6/11/2025,6/7/2025,Dikembalikan
2,USR00001,Mahesa Usada,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2025.0,TRX001888,BK00417,5/26/2023,6/9/2023,6/6/2023,Dikembalikan
3,USR00001,Mahesa Usada,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2025.0,TRX001934,BK01185,8/2/2024,8/16/2024,8/9/2024,Dikembalikan
4,USR00001,Mahesa Usada,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2025.0,TRX002336,BK00578,12/11/2025,12/25/2025,12/16/2025,Dikembalikan
5,USR00001,Mahesa Usada,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2025.0,TRX002378,BK00497,2/16/2024,3/1/2024,3/2/2024,Terlambat
6,USR00001,Mahesa Usada,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2025.0,TRX002766,BK00659,1/7/2023,1/21/2023,1/20/2023,Dikembalikan
7,USR00001,Mahesa Usada,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2025.0,TRX002797,BK00214,11/6/2024,11/20/2024,11/20/2024,Dikembalikan
8,USR00002,Puti Najmudin,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2024.0,TRX000568,BK01249,1/17/2025,1/31/2025,2/6/2025,Terlambat
9,USR00002,Puti Najmudin,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2024.0,TRX001332,BK01316,11/10/2024,11/24/2024,11/23/2024,Dikembalikan
10,USR00002,Puti Najmudin,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2024.0,TRX001403,BK01376,9/7/2024,9/21/2024,9/16/2024,Dikembalikan
11,USR00002,Puti Najmudin,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2024.0,TRX001633,BK01241,3/22/2023,4/5/2023,4/3/2023,Dikembalikan
